id;user_id;company_slug;rating;comment;created_at;updated_at;is_approved
ad88a6ae-80b5-472f-a487-18cae6fc59c9;baa65de5-78d4-4128-865f-a59c77ac7492;rbc;94;;2025-12-12 12:51:05.783978+00;2025-12-12 12:51:05.783978+00;false
17b8245a-989a-4bcd-aaeb-9c4ceff859c4;fc3cab66-6d4d-47f5-8b97-56a1e1b122d3;citigroup;60;Good for international clients;2025-06-18 17:18:26.850442+00;2026-01-13 16:31:58.113093+00;true
ef0dfe23-1d7a-499b-8669-e90a9295edb0;26049892-3290-4410-9082-e34762aadbc6;etrade;100;Solid mobile app;2025-06-19 17:32:01.787261+00;2026-01-13 16:31:58.113093+00;true
e47c0c81-871f-420e-ab46-f255490c34e8;baa65de5-78d4-4128-865f-a59c77ac7492;capital-group;95;Based on my own experience, can claim that really high-level of service and security. But quite a lot routine with fees and withdrawals.;2025-12-24 12:23:35.203813+00;2026-01-13 15:34:14.656024+00;true
5ced670d-5df1-471e-befa-9a2ff92ff3ba;62afb316-16f7-4642-b8fb-6220eb105f3d;blackrock;60;Best for long-term investing;2025-10-09 01:43:49.001402+00;2026-01-13 16:31:17.202976+00;true
bc0103eb-14ff-4a7b-a3e3-b4bc4c563a6c;58a68cd7-2ade-429b-87d8-c13cb91792bd;bank-of-america;60;Wide ATM network;2025-09-23 08:55:09.801777+00;2026-01-13 16:31:17.829098+00;true
70706d9a-6262-467f-9ba0-af423d908872;58a68cd7-2ade-429b-87d8-c13cb91792bd;wells-fargo;100;Reliable customer service;2025-09-10 02:35:03.683845+00;2026-01-13 16:31:18.241896+00;true
5105dd2d-c8c8-4b30-9ba2-abaa1afb0b16;62afb316-16f7-4642-b8fb-6220eb105f3d;goldman-sachs;100;Great for institutional clients;2025-08-10 16:58:45.454557+00;2026-01-13 16:31:37.568147+00;true
a445fe3c-d953-4512-8d67-de812adc549f;baa65de5-78d4-4128-865f-a59c77ac7492;justforex;20;;2025-12-12 12:52:11.927135+00;2025-12-24 11:00:57.113712+00;false
531f6bb8-7d91-44e9-a396-0e451a50db35;baa65de5-78d4-4128-865f-a59c77ac7492;apg;88;;2025-12-24 15:25:31.982622+00;2025-12-24 15:25:31.982622+00;false
d2732d69-f22f-4c50-9429-335926ad12c3;9fadf96f-0eb8-49df-9aa5-867efcc17a07;ubs;60;Excellent wealth management;2025-12-03 04:20:41.93313+00;2026-01-13 16:31:05.13186+00;true
65d5d2e4-0a00-4562-bb1f-f8f0acec9fac;0f37ab30-c720-497e-9bed-1dd2bf1468a9;htx;20;I was suspended for transaction of 1000 usdt after one week of using exchange. Avoid this platform;2026-01-13 16:33:59.65974+00;2026-01-13 16:34:11.813619+00;true
1462b1cc-3fe6-4664-be3e-d009770c5ce0;baa65de5-78d4-4128-865f-a59c77ac7492;fidelity;71;;2026-01-16 12:17:25.806068+00;2026-01-16 12:17:25.806068+00;true
58ea2e13-8609-4061-a99b-2d63fe18a645;baa65de5-78d4-4128-865f-a59c77ac7492;future-fund;90;;2026-01-08 09:24:18.585739+00;2026-01-08 09:24:18.585739+00;false
e8898e2f-694d-4fc9-a1a9-98d47a3abc4b;02e00c97-943d-4344-a6c6-3144405f11b5;morgan-stanley;80;Professional advisory services;2025-11-29 03:22:44.304482+00;2026-01-13 16:31:05.318598+00;true
2fd7d527-ee94-4959-885e-ea74f8686985;88512bd3-5c65-4ae5-846c-c98f0fbad8a4;ubs;100;Global reach and expertise;2025-09-09 20:45:08.147994+00;2026-01-13 16:31:18.241896+00;true
1e60ac27-642d-4fbf-b02a-07e4dd57d8be;88512bd3-5c65-4ae5-846c-c98f0fbad8a4;morgan-stanley;80;Excellent private banking;2025-08-26 10:24:42.675906+00;2026-01-13 16:31:18.869738+00;true
3e9b9e83-d32a-43ec-92d1-f25dc809b29b;88512bd3-5c65-4ae5-846c-c98f0fbad8a4;fidelity;60;Best trading platform;2025-08-01 17:15:59.880635+00;2026-01-13 16:31:37.779477+00;true
74bb4d65-2416-472c-8ed0-35ebeec0b79d;e692ec09-df8d-47fe-a655-17e76fbfe4ba;abn-amro;49;Отличная штука;2026-01-09 17:20:59.794915+00;2026-01-13 15:34:08.782229+00;true
12b7f9fc-335d-46d3-8e45-ca2f58bc8583;b0403bbb-7abb-4579-992d-eaa1e9548c72;deutsche-bank;80;Solid research;2025-11-28 10:54:28.847864+00;2026-01-13 16:31:05.318598+00;true
ec6f269f-9831-4288-8811-7a3d4df8f8d6;97aa2826-8104-4a7f-a34b-7691ac558275;jpmorgan;100;Reliable and trustworthy institution;2025-10-29 17:15:52.23598+00;2026-01-13 16:31:06.289171+00;true
046d8fbc-5a37-4eeb-81f6-e84ff1b64af3;b0403bbb-7abb-4579-992d-eaa1e9548c72;robinhood;60;Good for small investors;2025-08-09 16:10:28.067476+00;2026-01-13 16:31:37.568147+00;true
2a54afb2-fabf-44fb-96a4-864cca49bef2;d5c070a3-6a76-4acf-be59-2199e46a4635;barclays;100;Good trading platform;2025-07-23 09:41:02.325961+00;2026-01-13 16:31:38.171627+00;true
7e8298f4-73da-4d4c-b7a9-636040be4b0c;e692ec09-df8d-47fe-a655-17e76fbfe4ba;absa;52;;2026-01-09 17:23:35.258757+00;2026-01-09 17:23:35.258757+00;false
a83b7b38-1150-4b0f-8875-008d7b4d9732;a3bac66e-5d9d-4376-ad99-1b330ade2adf;hsbc;60;Good investment options;2025-12-04 22:49:34.364381+00;2026-01-13 16:31:05.13186+00;true
bb626fb9-78be-4fea-a7f1-d5872830bc89;3bad778e-7d96-4d1a-bd73-3ef8fa39aa0f;merrill-lynch;80;Great integration with Bank of America;2025-11-27 13:37:20.76337+00;2026-01-13 16:31:05.318598+00;true
d2535baa-6211-4b67-800d-3da96f0ed9f6;3eb1af52-e5bb-4865-bfc4-a717d95be7fd;deutsche-bank;100;Reliable institution;2025-09-06 04:18:15.5857+00;2026-01-13 16:31:18.457106+00;true
aa102b90-ccde-4f47-a86f-7455054b1ad9;baa65de5-78d4-4128-865f-a59c77ac7492;coinbase-exchange;84;;2026-01-09 18:18:10.159068+00;2026-01-09 18:18:10.159068+00;false
048f5817-ffe8-4fda-902a-e2e4a883008f;ffcf8e4a-a6a5-4204-aa84-b2c9ae97adc3;schwab;100;Excellent customer support;2025-10-26 01:43:21.218375+00;2026-01-13 16:31:06.289171+00;true
