id;username;display_name;avatar_url;bio;reputation_score;posts_count;joined_at;created_at;updated_at;privacy_level
e692ec09-df8d-47fe-a655-17e76fbfe4ba;;Kamire ;;;4;0;2026-01-09 16:17:43.719157+00;2026-01-09 16:17:43.719157+00;2026-01-09 16:17:43.719157+00;public
026a68ad-f202-45d4-a2a2-bf6309c8b0bd;;katarinakrants;;;0;0;2026-01-09 16:44:23.984026+00;2026-01-09 16:44:23.984026+00;2026-01-09 16:44:23.984026+00;public
79b80166-fed7-4004-9294-309b982a5068;;ezra.lawrence.fin@gmail.com;https://lh3.googleusercontent.com/a/ACg8ocLehE18Adv-0j54shLBz-ue9F9S7_G58AsxV2ERc0ejCKf8xw=s96-c;;0;0;2026-01-14 16:00:18.700944+00;2026-01-14 16:00:18.700944+00;2026-01-14 16:00:18.700944+00;public
0f37ab30-c720-497e-9bed-1dd2bf1468a9;hiroshi_0f37ab30;Mark CR;https://api.dicebear.com/7.x/adventurer/svg?seed=0f37ab30&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;4;0;2024-05-30 05:11:20.751108+00;2025-12-17 13:53:41.864331+00;2026-01-13 13:33:06.772+00;public
094b5bda-2da5-4a08-bb9d-7e741bc23cb8;arjun_094b5bda;Mei Lin;https://api.dicebear.com/7.x/adventurer/svg?seed=094b5bda&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;223;94;2025-11-25 21:35:41.622367+00;2025-04-24 04:26:24.034738+00;2025-04-24 04:26:24.034738+00;public
132a9ed4-3426-48ba-8bca-b68932fa87e0;bao_132a9ed4;Bao Nguyen;https://api.dicebear.com/7.x/adventurer/svg?seed=132a9ed4&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;493;57;2024-07-14 20:57:34.179097+00;2024-01-02 00:19:32.582442+00;2024-01-02 00:19:32.582442+00;public
15e93899-736a-4e12-b2cc-5b37378890b0;rina_15e93899;Meera Iyer;https://api.dicebear.com/7.x/adventurer/svg?seed=15e93899&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;489;92;2024-11-01 10:01:37.632218+00;2023-12-14 14:55:33.810428+00;2023-12-14 14:55:33.810428+00;public
023b1285-aed0-4cf1-96b2-ebbf2f7562f6;aiko_023b1285;Priya Sharma;https://api.dicebear.com/7.x/adventurer/svg?seed=023b1285&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;499;95;2023-12-26 05:04:39.001159+00;2025-02-22 18:18:21.285821+00;2025-02-22 18:18:21.285821+00;public
1f77b3f8-11dd-4ee9-8e73-93c86b8fe5e5;kavya_1f77b3f8;Sunita Rao;https://api.dicebear.com/7.x/adventurer/svg?seed=1f77b3f8&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;470;49;2025-08-24 16:47:27.783575+00;2024-03-02 18:00:38.608189+00;2024-03-02 18:00:38.608189+00;public
0b0f4b2d-24a5-405f-9b8d-ae692707c297;hana_0b0f4b2d;Jin Wang;https://api.dicebear.com/7.x/adventurer/svg?seed=0b0f4b2d&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;474;47;2025-02-23 06:29:08.487094+00;2024-02-04 09:29:43.239302+00;2024-02-04 09:29:43.239302+00;public
1b36ee7f-b8b6-4949-b0cd-0c97f3324c40;yuna_1b36ee7f;Sanjay Kumar;https://api.dicebear.com/7.x/adventurer/svg?seed=1b36ee7f&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;Software engineer investing on the side;120;84;2024-01-10 00:53:50.88984+00;2025-04-28 22:56:58.202371+00;2025-04-28 22:56:58.202371+00;public
029aadd3-7044-45f4-9fc7-cfe444ed90da;arjun_029aadd3;Yuki Tanaka;https://api.dicebear.com/7.x/adventurer/svg?seed=029aadd3&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;Data-driven decisions only;467;49;2024-08-19 18:02:50.850961+00;2025-11-18 13:48:15.227518+00;2025-11-18 13:48:15.227518+00;public
163c60ef-5281-4f8b-bb2b-dfdd7f595875;ananya_163c60ef;Akira Sato;https://api.dicebear.com/7.x/adventurer/svg?seed=163c60ef&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;467;57;2023-11-25 01:16:43.587903+00;2025-06-13 23:15:43.718161+00;2025-06-13 23:15:43.718161+00;public
1caf76c1-b615-4a00-b3fa-46b3f331adb9;rina_1caf76c1;Kavya Menon;https://api.dicebear.com/7.x/adventurer/svg?seed=1caf76c1&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;482;36;2025-04-17 01:14:33.377298+00;2025-05-11 01:27:20.984163+00;2025-05-11 01:27:20.984163+00;public
1c9cdfd3-0e90-4c1f-b551-86bc91ee176f;sunita_1c9cdfd3;Li Wei;https://api.dicebear.com/7.x/adventurer/svg?seed=1c9cdfd3&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;316;23;2024-07-11 01:01:24.306296+00;2024-07-24 12:36:32.352498+00;2024-07-24 12:36:32.352498+00;public
1dbaad0b-c561-457e-989b-5cb39228a241;sanjay_1dbaad0b;Bao Nguyen;https://api.dicebear.com/7.x/adventurer/svg?seed=1dbaad0b&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;476;53;2024-02-20 13:38:47.683064+00;2025-03-17 16:06:23.241504+00;2025-03-17 16:06:23.241504+00;public
0f524681-c8ec-4a4f-94c1-b909fd0dad56;sakura_0f524681;Yuki Tanaka;https://api.dicebear.com/7.x/adventurer/svg?seed=0f524681&backgroundColor=b6e3f4,c0aede,d1d4f9,ffd5dc,ffdfbf;;476;72;2024-04-01 11:03:01.488077+00;2025-08-31 05:24:34.538531+00;2025-08-31 05:24:34.538531+00;public
